id;businessId;username;rating;comment
206;6;BreadBaker;5;The fresh bread at Beinwil Bakery is to die for!
207;7;GroceryGuru;4;Good selection at Surrein Groceries, but parking can be a hassle.
208;8;DelicatessenDevotee;5;The best delicatessen in town! Loved the cheese selection.
209;9;TechEnthusiast;2;Vermol's Electronics needs to improve their customer service.
210;10;ArtLover99;5;A wonderful experience at the Meiringen Art Gallery. Highly recommend!
211;11;BookNerd;4;Habkern Books has a great selection of classics.
212;12;HealthyLiving;3;Engelberg Groceries is good but can have better prices.
213;13;CafeConnoisseur;4;Hinterrhein Café has great coffee, but the seating is limited.
214;14;BakeryLover;5;Saxon Bakery makes amazing pastries!
215;15;Fashionista;4;Bürglen Fashion has trendy clothes but it's a bit expensive.
216;16;GiftHunter;5;Great unique gifts at Sta. Maria Val Müstair Gifts shop!
217;17;DIYDude;3;Frasco Hardware is decent but needs more variety.
218;18;TechSavvy;4;Sudern Electronics is pretty good but the staff need better training.
219;19;FlowerChild;5;Schongau Flowers makes beautiful bouquets every time.
220;20;ToyCollector;4;Gadmen Toys has a broad variety, but some toys are overpriced.
221;1;coffee_lover;5;The best coffee in Geneva! The ambiance is great too.
222;2;mountain_hiker;4;Good selection of gear, but a bit pricey.
223;3;flower_fan;5;Beautiful flower arrangements! Highly recommend.
224;4;bookworm123;4;Great selection of books, but the store is a bit small.
225;5;fashionista;5;Fantastic boutique with unique clothing items.
226;6;breadlover;5;Delicious bread and pastries! My favorite bakery.
227;7;grocery_guru;4;Wide variety of products, but it can get crowded.
228;8;deli_devotee;5;Excellent delicatessen with high-quality items.
229;9;tech_savvy;3;Good electronics, but the customer service could be better.
230;10;art_enthusiast;4;Lovely art gallery, but limited collection.
231;11;book_buddy;5;A hidden gem for book lovers!
232;12;grocery_guy;4;Good variety, but parking is a hassle.
233;13;cafe_crusader;5;Love this cozy cafe with great coffee and snacks.
234;14;bakery_buff;3;Good bakery, but the hours are too limited.
235;15;fashion_fan;4;Nice clothing store, but a bit expensive.
236;16;gift_guru;5;Perfect place for finding unique gifts.
237;17;hardware_hank;4;Good selection of hardware, but check out is slow.
238;18;tech_tinker;3;Average electronics store with average service.
239;19;floral_fanatic;5;Best florist in town! Fresh and beautiful flowers.
240;20;toy_trooper;4;Great toy store with a wide selection.
241;1;coffee_lover;5;Amazing coffee and wonderful ambiance. My daily go-to place!
242;2;mountain_goat;4;Great selection of gear, but a bit pricey.
243;3;petal_power;5;Beautiful flower arrangements and friendly staff!
244;4;bookworm;3;Nice collection but could use more variety.
245;5;fashion_diva;4;Trendy clothes, but the sizes run small.
246;6;bakery_buff;5;Best pastries in town! Highly recommend.
247;7;grocery_guru;4;Wide selection of products and fresh produce.
248;8;delightful_deli;5;Tasty and unique delicacies. A hidden gem!
249;9;tech_student;3;Good range of electronics, but customer service needs improvement.
250;10;artsy_ana;5;Incredible gallery with stunning pieces.
251;11;avid_reader;4;Cozy bookstore with a great selection.
252;12;grocer_gal;5;Fantastic grocery store with literally everything you need!
253;13;cafe_crawler;4;Lovely café with delicious pastries. Will visit again.
254;14;morning_bread;4;Great bread and friendly staff.
255;15;style_seeker;3;Fashionable clothing but customer service could be better.
256;16;gift_giver;5;Perfect place to find unique gifts.
257;17;handy_harry;3;Good hardware store but lacks variety.
258;18;tech_fanatic;4;Great selection of electronics and gadgets.
259;19;flower_fan;4;Beautiful flowers but a bit expensive.
260;20;toy_tester;5;Fantastic toy store with a great variety for kids.
261;1;CafeLover92;5;The coffee at Sunrise Cafe is the best in town! Love the ambiance too.
262;2;HikerMan21;4;Great selection of hiking gear at Mountain Gear. Staff was very helpful.
263;3;FlowerFan;3;Greifensee Flowers has beautiful arrangements but a bit overpriced.
264;4;Bookworm85;5;Alpine Books has a great collection of rare books. Found exactly what I was looking for.
265;5;Fashionista97;4;Le Paquier Boutique has trendy clothes. The staff is friendly and helpful.
266;6;BreadLover;5;Beinwil Bakery has the best pastries! Highly recommend the croissants.
267;7;GroceryGuru;3;Surrein Groceries is convenient but the selection is limited.
268;8;Foodie101;4;Schmitten Delicatessen has a great variety of cheeses. Perfect for a gourmet treat.
269;9;TechSavvy;5;Vermol's Electronics has the latest gadgets. Excellent customer service.
270;10;ArtLover;4;Meiringen Art Gallery has some stunning pieces. Worth a visit.
271;11;BookAddict;5;Habkern Books is a haven for book lovers. Great selection and cozy atmosphere.
272;12;ShopSmart;3;Engelberg Groceries is okay for basic needs but lacks variety.
273;13;CafeConnoisseur;4;Hinterrhein Café has a charming vibe. Coffee is good but a bit pricey.
274;14;PastryLover;5;Saxon Bakery's pastries are to die for! A must-visit for anyone with a sweet tooth.
275;15;FashionGuru;3;Bürglen Fashion has some nice items but the prices are a bit high.
276;16;GiftHunter;4;Sta. Maria Val Müstair Gifts has unique gifts. Found the perfect souvenir.
277;17;DIYEnthusiast;5;Frasco Hardware has all the tools I need. Great service and advice.
278;18;TechExplorer;3;Sudern Electronics has a good range but the store feels cramped.
279;19;FlowerFanatic;4;Schongau Flowers has lovely bouquets but slightly overpriced.
280;20;ToyLover;5;Gadmen Toys has a fantastic selection. Perfect for finding gifts for kids.
281;1;coffeeLover88;5;Sunrise Cafe has the best cappuccinos! The ambiance is perfect for a morning coffee.
282;2;outdoorFanatic;4;Mountain Gear has a great selection of equipment. Slightly pricey but worth it.
283;3;flowerGirl;5;Greifensee Flowers delivers the freshest flowers. Always beautifully arranged.
284;4;bookworm;5;Alpine Books has a fantastic collection of rare books. A must-visit for any bibliophile.
285;5;fashionista;4;Le Paquier Boutique has trendy clothing options. Customer service could be better.
286;6;breadLover;5;Beinwil Bakery's pastries are simply divine. Always fresh and delicious.
287;7;groceryGuru;3;Surrein Groceries has a good variety but the store layout is confusing.
288;8;foodie;4;Schmitten Delicatessen offers high-quality deli items. A bit expensive though.
289;9;techGeek;5;Vermol's Electronics stocks the latest gadgets. Staff is very knowledgeable.
290;10;artLover123;5;Meiringen Art Gallery has an incredible collection of local art. Definitely worth a visit.
291;11;avidReader;4;Habkern Books has a quaint and cozy atmosphere. Prices are reasonable.
292;12;groceryGal;4;Engelberg Groceries has fresh produce and fair prices. Friendly staff.
293;13;cafeHopper;3;Hinterrhein Café is nice, but service can be slow during peak hours.
294;14;bakeryFan;5;Saxon Bakery's bread is top-notch. Always look forward to their new offers.
295;15;shopperGirl;5;Bürglen Fashion has a great selection of clothes and helpful staff.
296;16;giftGiver;4;Sta. Maria Val Müstair Gifts has unique items. Perfect for special occasions.
297;17;DIYer;4;Frasco Hardware has most of the tools I need. Could use more variety.
298;18;techyTina;5;Sudern Electronics always provides excellent customer service and knowledgeable staff.
299;19;flowerFan;5;Schongau Flowers has the best floral arrangements. Highly recommend!
300;20;toyTester;4;Gadmen Toys has a good range of toys. Some items are a bit overpriced.
301;1;AliceW123;4;Great coffee and ambiance, but a bit crowded during peak hours.
302;2;MountainMan99;5;Amazing selection of equipment! Staff is very knowledgeable.
303;3;FlowerLover;3;Beautiful flowers but a bit overpriced.
304;4;Reader88;5;Cozy little bookstore with a fantastic selection of novels.
305;5;FashionStar;4;Trendy clothes and friendly staff. Loved it!
306;6;BreadLover22;5;The best bakery in town! Fresh bread every morning.
307;7;Shopper5;4;Great selection and reasonable prices.
308;8;FoodCritic23;3;Good quality food but not many options for vegetarians.
309;9;TechGuru;4;Great electronics store with helpful staff.
310;10;ArtFan89;5;Amazing art pieces! A must-visit for art lovers.
311;11;Bookworm;4;Nice collection of books, but the place is a bit small.
312;12;GroceryGuru;5;Fresh produce and friendly service.
313;13;CaféCritic;3;Nice café but the service was slow.
314;14;PastryLover;5;Delicious pastries and excellent customer service.
315;15;Fashionista;4;Trendy fashion items but a bit pricey.
316;16;GiftGuru;5;Perfect place for unique gifts!
317;17;DIYer;4;Good selection of tools, friendly staff.
318;18;ElectroFan;3;Decent electronics store, but could use more variety.
319;19;FlowerFanatic;4;Lovely flowers, reasonable prices.
320;20;ToyLover;5;Great toy store! My kids loved it.
321;1;CoffeeLover92;5;Absolutely love this place! Best coffee in town.
322;2;HikerJoe;4;Great selection of gear, a bit pricey though.
323;3;FlowerPower;3;Nice flowers, but the arrangements could be better.
324;4;BookWorm85;5;Lovely bookstore with a cozy atmosphere.
325;5;Fashionista;4;Trendy clothing, a bit expensive but worth it.
326;6;BreadLover;5;Best bakery in town. Fresh and delicious!
327;7;GroceryGuru;4;Good variety of products, but can be crowded.
328;8;Foodie123;5;Amazing delicatessen with unique items.
329;9;TechSavvy;2;Limited selection of electronics and high prices.
330;10;ArtLover;5;Beautiful art gallery with stunning exhibitions.
331;11;BookNerd;4;Great selection of books, friendly staff.
332;12;GroceryFan;3;Average grocery store, nothing special.
333;13;CafeLover;4;Nice cafe with decent coffee and pastries.
334;14;BakeryFan;5;Excellent bakery with fantastic bread.
335;15;FashionGuru;3;Okay clothing store, nothing extraordinary.
336;16;GiftSeeker;4;Nice gift shop with unique items.
337;17;HandyMan;3;Decent hardware store, but could have more variety.
338;18;TechEnthusiast;4;Good electronics store with helpful staff.
339;19;FlowerFanatic;5;Beautiful flowers and excellent service.
340;20;ToyLover;4;Great toy store with a wide variety of toys.
341;1;CoffeeLover92;5;Best coffee in town! The ambiance is fantastic. Highly recommended.
342;2;HikerMike;4;Great selection of gear. Staff could be more knowledgeable.
343;3;PlantMom;5;Beautiful flowers and arrangements. Wonderful service!
344;4;Bookworm88;3;Good book selection but the store is a bit cramped.
345;5;Fashionista01;4;Trendy clothes at reasonable prices. I will be back.
346;6;BreadLover;5;Delicious bread and pastries. Highly recommended bakery.
347;7;ShopperJane;3;Good variety but some items are overpriced.
348;8;GourmetGuru;5;Amazing selection of gourmet foods. Love this place!
349;9;TechGuy;4;Good electronics store. Wish they had more brands.
350;10;ArtLover85;5;Beautiful art pieces. A must-visit for art enthusiasts.
351;11;BookAddict;4;Nice selection of books. Could use more seating areas.
352;12;GroceryGuru;5;Great grocery store with fresh produce. Excellent service.
353;13;CafeHopper;4;Nice cafe with good coffee. The pastries could be better.
354;14;BreadFan;5;Best bakery in the area. Delicious and fresh every time.
355;15;FashionFreak;3;Good collection but found it a bit pricey.
356;16;GiftHunter;4;Lovely gift shop with unique items. Will come back.
357;17;DIYDave;4;Great hardware store. Found everything I needed.
358;18;TechyTom;5;Excellent electronics store with helpful staff.
359;19;FlowerFanatic;4;Beautiful flowers. Service could be faster.
360;20;ToyFan;5;Fantastic toy store! My kids love it here.
361;1;ChocoLover;5;Loved the ambiance and the coffee was fantastic!
362;2;HikerMike;4;Great selection of gear, but the prices are a bit high.
363;3;FlowerFanatic;5;Beautiful arrangements and friendly staff!
364;4;ReaderJane;3;Nice bookstore, but limited selection.
365;5;Fashionista21;4;Trendy clothes and helpful staff.
366;6;BreadLover82;5;Best bakery in town! Fresh and delicious.
367;7;GroceryGuru;2;Not a lot of variety in products.
368;8;DelicacyDiva;4;Quality delicacies but a bit pricey.
369;9;GadgetGuy;3;Decent electronics store, but customer service could be better.
370;10;ArtLover;5;Beautiful art pieces, loved my visit!
371;11;BookWorm123;4;Cozy bookstore with a good selection.
372;12;ShopperSue;5;Great grocery store with friendly staff!
373;13;CafeLover99;4;Lovely café with a nice atmosphere.
374;14;BakeryBuff;3;Good bakery but limited opening hours.
375;15;FashionFreak;4;Stylish clothing options, will visit again!
376;16;GiftQueen;5;Perfect place to find unique gifts!
377;17;DIYDean;3;Good selection, but the prices are high.
378;18;TechyTom;4;Great place for tech gadgets.
379;19;FlowerFan;5;Beautiful flowers and great customer service.
380;20;ToyLover;4;Awesome toy store with a wide variety of toys.
381;1;User123;5;Great coffee and ambiance! Will visit again.
382;2;MountainLover;4;Good selection of gear, but a bit pricey.
383;3;FlowerFan;5;Beautiful flowers and excellent service!
384;4;Bookworm90;5;A hidden gem for book lovers. Highly recommend.
385;5;Fashionista;3;Nice boutique, but the sizes are limited.
386;6;BreadLover;4;Freshly baked goods. The croissants are a must-try!
387;7;Shopaholic;4;Convenient location and good variety of products.
388;8;Foodie123;5;Delicious treats and a friendly atmosphere.
389;9;TechGuru;3;Good range of electronics, but staff could be more helpful.
390;10;ArtLover;5;Wonderful art pieces and knowledgeable staff.
391;11;Reader123;5;Cozy bookstore with a great selection.
392;12;GroceryGuru;4;Well-stocked and reasonably priced groceries.
393;13;CoffeeLover;4;Nice place for a coffee break. Good pastries.
394;14;BreadFan;3;Good bakery, but it closes too early.
395;15;FashionGuru;4;Trendy clothing but a bit expensive.
396;16;GiftSeeker;5;Perfect place for unique gifts.
397;17;DIYer;3;Decent hardware store but lacks variety.
398;18;GadgetGeek;4;Good selection of electronics at fair prices.
399;19;FlowerFanatic;5;Lovely flowers and helpful staff.
400;20;ToyLover;5;Great toy store with a wide range of products.
401;1;coffeeLover123;5;Sunrise Cafe is my favorite spot! The coffee is superb and the ambiance is relaxing.
402;2;hikerDude;4;Mountain Gear has a great selection of equipment. The staff could be a bit friendlier though.
403;3;flowerFan;5;Greifensee Flowers always has the freshest flowers. I love shopping here!
